Rank,Title,Director,Tagline,Overview,Runtime,Genres,Release Year,Cast,Rating
5789,Titus,Julie Taymor,The fate of an empire. The descent of man.,"Titus Andronicus returns from the wars and sees his sons and daughters taken from him, one by one. Shakespeare's goriest and earliest tragedy.",162,"Drama, History",1999,"Anthony Hopkins, Jessica Lange, Jonathan Rhys Meyers, Matthew Rhys, Osheen Jones, Dario D'Ambrosi, Raz Degan, Harry Lennix, Angus Macfadyen, Kenny Doughty, Blake Ritson, Colin Wells",6.498
5790,Invincible,Ericson Core,Dreams are not lived on the sidelines,"Inspired by the true story of Vince Papale, a man with nothing to lose who ignored the staggering odds and made his dream come true. When the coach of Papale's beloved hometown football team hosted an unprecedented open tryout, the public consensus was that it was a waste of time – no one good enough to play professional football was going to be found this way.",105,"Drama, History",2006,"Mark Wahlberg, Greg Kinnear, Elizabeth Banks, Kevin Conway, Michael Rispoli, Morgan Turner, Dov Davidoff, Kirk Acevedo, Michael Kelly, Sal Darigo, Nicoye Banks, Turron Kofi Alleyne",6.981
5791,On the Basis of Sex,Mimi Leder,Her story made history,Young lawyer Ruth Bader Ginsburg teams with her husband Marty to bring a groundbreaking case before the U.S. Court of Appeals and overturn a century of sex discrimination.,120,"Drama, History",2018,"Felicity Jones, Armie Hammer, Justin Theroux, Sam Waterston, Kathy Bates, Cailee Spaeny, Callum Shoniker, Jack Reynor, Stephen Root, Ronald Guttman, Chris Mulkey, Gary Werntz",7.4
5792,Karinyo Brutal,Jose Javier Reyes,,"When a battered mistress meets her neighbor, she knows he will be her perfect escape plan. But things turn chaotic when their plan backfires.",92,"Romance, Drama",2024,"Apple Dy, Benz Sangalang, Armani Hector, Maebelle Medina, Aries Go, Caira Lee, Ghion Espinosa",3.0
5793,Red Lights,Rodrigo Cortés,How much do you want to believe?,"Two investigators of paranormal hoaxes, the veteran Dr. Margaret Matheson and her young assistant, Tom Buckley, study the most varied metaphysical phenomena with the aim of proving their fraudulent origins. Simon Silver, a legendary blind psychic, reappears after an enigmatic absence of 30 years to become the greatest international challenge to both orthodox science and professional sceptics. Tom starts to develop an intense obsession with Silver, whose magnetism becomes stronger with each new manifestation of inexplicable events. As Tom gets closer to Silver, tension mounts, and his worldview is threatened to its core.",114,Thriller,2012,"Sigourney Weaver, Robert De Niro, Cillian Murphy, Elizabeth Olsen, Toby Jones, Joely Richardson, Karen David, Craig Roberts, Burn Gorman, Gina Bramhill, Jan Cornet, Leonardo Sbaraglia",6.18
5794,The Shop Around the Corner,Ernst Lubitsch,"Just LOOK at WHO GET THAT SLY ""LUBITSCH TOUCH"" NOW!","Two employees at a gift shop can barely stand one another, without realising that they are falling in love through the post as each other's anonymous pen pal.",99,"Comedy, Drama, Romance",1940,"James Stewart, Margaret Sullavan, Frank Morgan, Joseph Schildkraut, Sara Haden, Felix Bressart, William Tracy, Inez Courtney, Sarah Edwards, Edwin Maxwell, Charles Halton, Charles Smith",8.223
5795,Santa Claus: The Movie,Jeannot Szwarc,You'd better watch out! This year he REALLY IS coming to town.,"In ancient times, a man named Claus, who delivers toys in his small village, fulfils his destiny to become Santa Claus after meeting an expert toy-making elf, Patch, in the North Pole. In the present day, Santa Claus has become overwhelmed by his workload, and the disgruntled Patch flees the workshop to New York City. There, Patch unknowingly threatens the fate of Christmas by taking a job at a failing toy company run by a scheming businessman.",108,"Family, Fantasy, Adventure",1985,"Dudley Moore, John Lithgow, David Huddleston, Burgess Meredith, Judy Cornwell, Jeffrey Kramer, Christian Fitzpatrick, Carrie Kei Heim, John Barrard, Anthony O'Donnell, Melvyn Hayes, Don Estelle",6.295
5796,I.Q.,Fred Schepisi,"With Einstein as Cupid, what could possibly go wrong?",Albert Einstein helps a young man who's in love with Einstein's niece to catch her attention by pretending temporarily to be a great physicist.,100,"Comedy, Drama, Romance",1994,"Tim Robbins, Meg Ryan, Walter Matthau, Lou Jacobi, Stephen Fry, Joseph Maher, Gene Saks, Tony Shalhoub, Frank Whaley, Charles Durning, Danny Zorn",6.0
5797,Song of the South,"Wilfred Jackson, Harve Foster",Here Comes the Zip-A-Dee-Doo-Dah Show!,Uncle Remus draws upon his tales of Br'er Rabbit to help little Johnny deal with his confusion over his parents' separation as well as his new life on the plantation.,94,"Family, Animation",1946,"James Baskett, Ruth Warrick, Bobby Driscoll, Luana Patten, Lucile Watson, Hattie McDaniel, Erik Rolf, Glenn Leedy, Mary Field, Anita Brown, Georgie Nokes, Gene Holland",6.406
5798,Death on the Nile,John Guillermin,A murderer strikes on board the luxury Nile steamer Karnak – and Hercule Poirot faces his most baffling case.,"As Hercule Poirot enjoys a luxurious cruise down the Nile, a newlywed heiress is found murdered on board and every elegant passenger becomes a prime suspect.",140,Mystery,1978,"Peter Ustinov, Jane Birkin, Lois Chiles, Bette Davis, Mia Farrow, Jon Finch, Olivia Hussey, I.S. Johar, George Kennedy, Angela Lansbury, Simon MacCorkindale, David Niven",7.15
5799,9 Bullets,Gigi Gaston,One shot will change everything.,"A former burlesque dancer turned author discovers a second chance at life and redemption when she risks everything to rescue her young neighbor after he witnesses his parents’ murder. Now on the run from the local crime boss, who happens to be her longtime ex, she makes a desperate attempt to get the boy to safety.",96,"Action, Thriller",2022,"Lena Headey, Dean Scott Vazquez, Sam Worthington, Barbara Hershey, La La Anthony, Cam Gigandet, Marc Menchaca, Marlene Forte, Stephanie Arcila, Emma Holzer, Chris Mullinax, Cornelia Guest",5.428
5800,The Banker,George Nolfi,Don’t pay the man. Be the man.,"In the 1960s, two entrepreneurs hatch an ingenious business plan to fight for housing integration—and equal access to the American Dream.",120,Drama,2020,"Anthony Mackie, Samuel L. Jackson, Nicholas Hoult, Nia Long, Jessie T. Usher, Colm Meaney, Paul Ben-Victor, James DuMont, Taylor Black, Gregory Alan Williams, Bill Kelly, Jaylon Gordon",7.607
5801,Bill & Ted's Excellent Adventure,Stephen Herek,History is about to be rewritten by two guys who can't spell.,"Bill and Ted are high school buddies starting a band. They are also about to fail their history class—which means Ted would be sent to military school—but receive help from Rufus, a traveller from a future where their band is the foundation for a perfect society. With the use of Rufus' time machine, Bill and Ted travel to various points in history, returning with important figures to help them complete their final history presentation.",90,"Adventure, Comedy, Science Fiction",1989,"Keanu Reeves, Alex Winter, George Carlin, Robert V. Barron, Terry Camilleri, Clifford David, Al Leong, Rod Loomis, Dan Shor, Tony Steedman, Jane Wiedlin, Bernie Casey",6.858
