Title,Genre
Badland Hunters,Science Fiction
Badland Hunters,Action
Badland Hunters,Drama
Skal - Fight for Survival,Action
Skal - Fight for Survival,Horror
Skal - Fight for Survival,Comedy
Skal - Fight for Survival,Thriller
The Family Plan,Action
The Family Plan,Comedy
One More Shot,Action
One More Shot,Thriller
Wonka,Comedy
Wonka,Family
Wonka,Fantasy
Lift,Action
Lift,Comedy
Lift,Crime
Migration,Animation
Migration,Action
Migration,Adventure
Migration,Comedy
Migration,Family
Wish,Animation
Wish,Family
Wish,Fantasy
Wish,Adventure
The Marvels,Science Fiction
The Marvels,Adventure
The Marvels,Action
Sixty Minutes,Action
Sixty Minutes,Drama
Aquaman and the Lost Kingdom,Action
Aquaman and the Lost Kingdom,Adventure
Aquaman and the Lost Kingdom,Fantasy
Upgraded,Romance
Upgraded,Comedy
Madame Web,Fantasy
Madame Web,Action
Madame Web,Science Fiction
The Beekeeper,Action
The Beekeeper,Thriller
The Beekeeper,Drama
Silent Night,Action
Silent Night,Crime
Silent Night,Thriller
Silent Night,Drama
The Bricklayer,Action
The Bricklayer,Thriller
Rebel Moon - Part One: A Child of Fire,Science Fiction
Rebel Moon - Part One: A Child of Fire,Drama
Rebel Moon - Part One: A Child of Fire,Action
Freelance,Action
Freelance,Comedy
The Painter,Action
The Painter,Thriller
Napoleon,History
Napoleon,War
Napoleon,Action
Napoleon,Drama
Oppenheimer,Drama
Oppenheimer,History
Poor Things,Science Fiction
Poor Things,Romance
Poor Things,Comedy
Expend4bles,Action
Expend4bles,Adventure
Expend4bles,Thriller
Due Justice,Crime
Due Justice,Thriller
Due Justice,Action
The Tiger's Apprentice,Animation
The Tiger's Apprentice,Action
The Tiger's Apprentice,Adventure
The Tiger's Apprentice,Family
The Tiger's Apprentice,Fantasy
The Boy and the Heron,Animation
The Boy and the Heron,Adventure
The Boy and the Heron,Fantasy
The Creator,Action
The Creator,Adventure
The Creator,Science Fiction
Bob Marley: One Love,Music
Bob Marley: One Love,Drama
Transformers: Rise of the Beasts,Action
Transformers: Rise of the Beasts,Adventure
Transformers: Rise of the Beasts,Science Fiction
Dune,Science Fiction
Dune,Adventure
The Flash,Action
The Flash,Adventure
The Flash,Science Fiction
Muzzle,Action
Muzzle,Crime
Muzzle,Drama
Muzzle,Thriller
Nowhere,Thriller
Nowhere,Drama
Fast X,Action
Fast X,Crime
Fast X,Thriller
While We Sleep,Horror
John Wick: Chapter 4,Action
John Wick: Chapter 4,Thriller
John Wick: Chapter 4,Crime
Dune: Part Two,Science Fiction
Dune: Part Two,Adventure
Boudica,Action
Boudica,War
Land of Bad,Action
Land of Bad,Thriller
Land of Bad,War
The Equalizer 3,Action
The Equalizer 3,Thriller
The Equalizer 3,Crime
Players,Romance
Players,Comedy
Godzilla x Kong: The New Empire,Action
Godzilla x Kong: The New Empire,Science Fiction
Godzilla x Kong: The New Empire,Adventure
Meg 2: The Trench,Action
Meg 2: The Trench,Science Fiction
Meg 2: The Trench,Horror
The Animal Kingdom,Science Fiction
The Animal Kingdom,Adventure
The Animal Kingdom,Drama
The Animal Kingdom,Mystery
Mary and Max,Animation
Mary and Max,Comedy
Mary and Max,Drama
57 Seconds,Thriller
57 Seconds,Science Fiction
57 Seconds,Action
Rumble Through the Dark,Thriller
Rumble Through the Dark,Action
Retribution,Action
Retribution,Thriller
Retribution,Crime
The Hill,History
The Hill,Drama
Avatar: The Way of Water,Science Fiction
Avatar: The Way of Water,Adventure
Avatar: The Way of Water,Action
Society of the Snow,Drama
Society of the Snow,History
The Return,Horror
The Return,Science Fiction
The Iron Claw,Drama
The Iron Claw,History
Barbie,Comedy
Barbie,Adventure
The Super Mario Bros. Movie,Animation
The Super Mario Bros. Movie,Family
The Super Mario Bros. Movie,Adventure
The Super Mario Bros. Movie,Fantasy
The Super Mario Bros. Movie,Comedy
Deep Fear,Action
Deep Fear,Mystery
Deep Fear,Thriller
Deep Fear,Horror
Robot Dreams,Animation
Robot Dreams,Comedy
Robot Dreams,Drama
Robot Dreams,Family
Deadpool,Action
Deadpool,Adventure
Deadpool,Comedy
The Exorcism of Hannah Stevenson,Fantasy
The Exorcism of Hannah Stevenson,Horror
Deadpool 2,Action
Deadpool 2,Comedy
Deadpool 2,Adventure
Spider-Man: Across the Spider-Verse,Animation
Spider-Man: Across the Spider-Verse,Action
Spider-Man: Across the Spider-Verse,Adventure
Spider-Man: Across the Spider-Verse,Science Fiction
The Farm,Horror
Miller's Girl,Drama
Miller's Girl,Thriller
Blue Beetle,Action
Blue Beetle,Science Fiction
Blue Beetle,Adventure
Pirates of the Caribbean: The Curse of the Black Pearl,Adventure
