ID,Actor
1,
2,Ben Walker
3,Rick Aviles
4,Jacques Mathou
5,Rahul Ramakrishna
6,Tony Ho
7,Ivor Barry
8,Elsa Wagner
9,Jon Bon Jovi
10,Linda Molloy
11,Nguyen Ngoc Lâm
12,Axel Alpuche
13,Keiko Aizawa
14,Akira Tani
15,Marissa Sanchez
16,Will Ferrell
17,Fabien Dominique
18,Ayaka Suwa
19,Sana'a Shaik
20,Ivan Brutsche
21,Park Soo-young
22,Michael Riley
23,Alida Baldari Calabria
24,Leonardo DiCaprio
25,Elena Wohl
26,Miki Esparbé
27,Christopher Reed
28,Gabrielle Anwar
29,Wally Taylor
30,David Bamber
31,Susan Fitzker
32,Anastasia Kolpakova
33,Greg Germann
34,George Memmoli
35,Taylor Kitsch
36,Wolfgang Lukschy
37,Sean Cullen
38,Van Baum
39,Alice Greczyn
40,Frank Hoyt Taylor
41,Robert Plunket
42,Klaus Ofczarek
43,Javier Coromina
44,Lindsay Wray
45,Grace Brannigan
46,Kate Englefield
47,Claudia Salas
48,Hidetoshi Nishijima
49,Jed Brophy
50,Minako Komukai
51,Rick Riccardo
52,Michael McCoy
53,Charlie Thenard
54,Harrison Bieker
55,Andreas Pietschmann
56,Anderson Silva
57,Thana Komentiti
58,Vijay
59,Harish Rai
60,Leo Gullotta
61,Karen Leigh
62,Dylan Walsh
63,Barbara Rush
64,Philip Quast
65,Daniel Gélin
66,Christopher Villiers
67,Beate Hasenau
68,Lee Ji- su
69,Mingus Johnston
70,Lloyd Sherr
71,Emily Robinson
72,Sheron Menezes
73,Maurice Ronet
74,Mocomichi Hayami
75,Danielle Brooks
76,Filip Bargee Ramberg
77,Ricky Whittle
78,Robert Davi
79,John Kassir
80,Robert Downey Jr.
81,Miguel angel Pérez
82,Lidia Bogaczówna
83,Daniel Sharman
84,Omri Katz
85,Lam Kau
86,Uhm Jung-hwa
87,Stafford Perry
88,Andrea Roth
89,Charlize Theron
90,Ben Schwartz
91,Conor Moriarty
92,Percy Chamburuka
93,Yumi Ito
94,Fay Holden
95,Dan Joffre
96,Gylfi Zoega
97,Lao Rodriguez
98,Dana de Celis
99,Emily Barclay
100,David Lowe
101,Glen Lefchak
102,Jin Muraki
103,Reneé Rapp
104,Nihan Gur
105,Henry Strozier
106,Vivien Leigh
107,Gary Lockwood
108,Camilla Søeberg
109,Wang Jiakun
110,Kong Kuwata
111,Dhairya Karwa
112,Frédéric Darié
113,Michael Gwynn
114,Wendy Craig
115,Skye Coyne
116,Keiji Sada
117,Loles León
118,Brandon López
119,Satoshi Niizuma
120,Joe Baker
121,Barbara Bach
122,Sadie Goldstein
123,Malcolm-Jamal Warner
124,Barbara Barrie
125,Danielle Gatto
126,Birge Schade
127,Harriet MacMasters-Green
128,Jim Henson
129,Trish Cook
130,Peter Horton
131,Kentarô Kaji
132,Rich Webber
133,Irina Apeksimova
134,Matias Myren
135,Ellen Kennedy
136,Shana Barry
137,Lucy Russell
138,Phyllis Applegate
139,Lana McKissack
140,Christopher Leveaux
141,Stephanie Lai
142,Jean-Louis Schlesser
143,Kimberli Lincoln
144,Alexandria Steffensen
145,Joe Knezevich
146,Josh Cruze
147,Cheng Pei-pei
148,Jodie Sweetin
149,Kana Yuuki
150,Dick Lau Tik-Chi
151,Dylan Riley Snyder
152,Jordan Rodrigues
153,Gaius Charles
154,Steve Terada
155,Roberta Orlandi
156,Roderick Cook
157,Kim Uylenbroek
158,Chloe Franks
159,Francisco Castro
160,Stewart Klein
161,Gisellma Firmansyah
162,Jean Becker
163,Tserendagva Purevdorj
164,Peter Gray Lewis
165,Jean-Paul Muel
166,Sin Yi Gei
167,Chris Zylka
168,Susan French
169,Martin Swabey
170,Anne Suzuki
171,Luis Guedes
172,Ralph Pace
173,Chao Wei
174,Nikolay Efremov
175,Michael C. Maronna
176,Andrés Almeida
177,Stephen Markle
178,Nikita Elenev
179,Hiromi Saotome
180,Charles Maddox
181,Raymond Burr
182,Juri Kimura
183,Morgan Lennon
184,Alex Beckett
185,Garret Dillahunt
186,Angela Ponos
187,Luis Rallo
188,Jonas Gülstorff
189,Ishai Golan
190,Katharine King So
191,Anjul Nigam
192,Noorin Gulamgaus
193,Wolfman Jack
194,Diane Ayala Goldner
195,Jayson Warner Smith
196,Asante Jones
197,Darryl Cooksey
198,Mark Hayes
199,Gattlin Griffith
200,Shuai Zhou
201,Andrew Fleming
202,James Broderick
203,Eric Starkey
204,Debora Kessler
205,Christina Wolfe
206,Jeena Yi
207,Toku Nishio
208,Aggy K. Adams
209,Jean-Michel Le Gal
210,Julian Schaffner
211,Daniel Wu
212,Sverrir Gudnason
213,Devon Aoki
214,Merle Tottenham
215,Sergio Leone
216,Elijah Canlas
217,Lee Boardman
218,Cody Christian
219,Andrei Arlovski
220,Nicholas Ryan
221,Christian Baril
222,William Mang
223,Ella Thomas
224,Seham Galal
225,Michael Monks
226,Lewis McAskie
227,Jessica Fuselier
228,George Harrison
229,Kathryn Fiore
230,Christian Kain Blackburn
231,Hikaru Midorikawa
232,Jeremy Davies
233,Miriam Giovanelli
234,Rudy Pankow
235,Bruna Gonzalez
236,Liam James
237,Travis Nelson
238,Frank Grillo
239,Park Sang-gyu
240,Itziar Ituno
241,John Dehner
242,Carra Patterson
243,Earleen Carey
244,Martin Kove
245,Ezequiel Rodríguez
246,Pei Kuishan
247,Jessica Taylor
248,Ronan Pak
249,Lucy Griffiths
